,name,estab_year,employees_count,location,designation,hr_name,skills
181,Arthmate,Founded in 2020,10 - 50 employees,Delhi,Java Developer,Aiysha K,"Java,Finance,Spring Boot"
182,DvSum,Founded in 2014,50 - 200 employees,Bangalore,Data Engineer / Data Consultant,Beatrice Wesley,"SQL,Data Migration,Data Warehousing,Database Development,Azure Data Factory"
183,EY,Founded in 1989,More than 1000 employees,Bangalore,DevOps Engineer,Pooja Sharma,"DevOps,CI - CD,AWS,Deployment,Kubernetes"
184,HCL Technologies,Founded in 1976,More than 1000 employees,Indore,Mern Stack Developer,Arshi Malik,"Node.js,React.js,JavaScript,Jenkins,PHP"
185,L&T Technology Services,Founded in 2009,More than 1000 employees,Pune,Dot .NET Developer - Fullstack,Swathi N,".NET,Angular,Azure,ASP.NET,C#"
186,Lumen Solutions,Founded in 2011,10 - 50 employees,Mumbai,SAP ABAP Consultant,Jeevitha N A,SAP ABAP
187,Lumen Technologies,Founded in 1968,More than 1000 employees,Mumbai,SAP ABAP Consultant,Navya C M,SAP ABAP
188,Notes & Codes,Founded in 2015,0 - 10 employees,Delhi,Social Media Associate,Notes And Codes Office,"Content Marketing,Facebook Marketing,Social Media Marketing"
189,Nykaa,Founded in 2012,200 - 500 employees,Mumbai,Graphic Designer (Senior Executive),Blessy Fernandes,"Graphic Design,Illustration,Adobe After Effects,Figma,Brand Management"
190,Atlys,Founded in 2020,10 - 50 employees,Mumbai,Account Manager - Sales,Blessy Fernandes,"Sales,Business Development,Corporate Sales,Key Account Management"
191,Atlys,Founded in 2020,10 - 50 employees,Mumbai,Sales Specialist,Vandana Hirey,"Sales,Business Development,Direct Sales"
192,Fairmatic,Founded in 2019,50 - 200 employees,Bangalore,DevOps - 3 / Senior DevOps / SRE,Ismail Shaikh,"DevOps,Reliability Engineering,Python,Terraform,Monitoring"
193,Jupiter,Founded in 2019,50 - 200 employees,Bangalore,Security Engineer 1,Shwetank Johri,"Application Security,Information Security"
194,KPIT,Founded in 1990,More than 1000 employees,Bangalore,AUTOSAR Diagnostics Developer (Onboard Diagnostics),Keshini Vc,"Diagnostics,AUTOSAR,UDS,DaVinci Resolve,CAN"
195,Mosaic Wellness,Founded in 2019,10 - 50 employees,Mumbai,Retention Marketing,Blessy Fernandes,"Revenue Management,CRM,Digital Marketing,Retention Management"
196,Outbrain,Founded in 2006,500 - 1000 employees,Gurgaon,NetSuite Consultant - Techno Functional,Rahul Atri,NetSuite
197,Testsigma,Founded in 2017,10 - 50 employees,Bangalore,Visual Designer,Riya Sharma,"Visual Design,Photoshop,Illustrator"
198,Zoomcar,Founded in 2012,200 - 500 employees,Bangalore,Senior Product Manager - Payments,Srushti M P,Product Management
199,ZoomInfo,Founded in 2000,More than 1000 employees,"Bangalore, Chennai",Principal Product Manager,Pranesh P,Product Management
200,Crayon Data,Founded in 2012,50 - 200 employees,Chennai,Senior Software Engineer,Meenakshi Priyadharshini,"Java,Spring"
201,Crayon Data,Founded in 2012,50 - 200 employees,Chennai,Senior Software Engineer,Meenakshi Priyadharshini,"Java,Spring"
202,Cyber Security Co.,Founded in 2018,10 - 50 employees,Mumbai,CCIE Trainer,Ram Khandelwal,"CCIE,CCNA"
203,IBM,Founded in 1911,More than 1000 employees,Bangalore,Test Engineer (Consultant),Nisha M,"Automation Testing,Java,Selenium,Quality Assurance,Performance Testing"
204,Kombai,Founded in 2022,0 - 10 employees,Bangalore,Fullstack Developer,Roselin Beni,"React.js,React Native,Next.js"
205,LTIMindtree,Founded in 1996,More than 1000 employees,Bangalore,Tosca Tester,Hrithik Chaudhary,"Tricentis Tosca,Automation Testing,Quality Assurance,Agile"
206,Ola,Founded in 2011,More than 1000 employees,Bangalore,Director - QA,Soumyashree Sr,"Automation Testing,Selenium,Appium,API Testing,Engineering Management"
207,VerSe Innovation,Founded in 2007,500 - 1000 employees,Bangalore,Senior ML Engineer,Deepthi Rebello,"Machine Learning,Python,PyTorch,TensorFlow"
208,WorkOnGrid,Founded in 2017,10 - 50 employees,Bangalore,DevOps Engineer - Intern (Internship),Athmiya Hm,"CI - CD,Linux,AWS,Azure,Docker,Google Cloud,Kubernetes"
209,Zoplar,Founded in 2022,10 - 50 employees,Allahabad,Medical Device Representative,Kajal Pahuja,"Business Development,Corporate Sales,Direct Sales,Sales"
210,Atlys,Founded in 2020,10 - 50 employees,Mumbai,Account Manager - Sales,Blessy Fernandes,"Sales,Business Development,Corporate Sales,Key Account Management"
211,Atlys,Founded in 2020,10 - 50 employees,Mumbai,Sales Specialist,Vandana Hirey,"Sales,Business Development,Direct Sales"
212,Fairmatic,Founded in 2019,50 - 200 employees,Bangalore,DevOps - 3 / Senior DevOps / SRE,Ismail Shaikh,"DevOps,Reliability Engineering,Python,Terraform,Monitoring"
213,Jupiter,Founded in 2019,50 - 200 employees,Bangalore,Security Engineer 1,Shwetank Johri,"Application Security,Information Security"
214,KPIT,Founded in 1990,More than 1000 employees,Bangalore,AUTOSAR Diagnostics Developer (Onboard Diagnostics),Keshini Vc,"Diagnostics,AUTOSAR,UDS,DaVinci Resolve,CAN"
215,Mosaic Wellness,Founded in 2019,10 - 50 employees,Mumbai,Retention Marketing,Blessy Fernandes,"Revenue Management,CRM,Digital Marketing,Retention Management"
216,Outbrain,Founded in 2006,500 - 1000 employees,Gurgaon,NetSuite Consultant - Techno Functional,Rahul Atri,NetSuite
217,Testsigma,Founded in 2017,10 - 50 employees,Bangalore,Visual Designer,Riya Sharma,"Visual Design,Photoshop,Illustrator"
218,Zoomcar,Founded in 2012,200 - 500 employees,Bangalore,Senior Product Manager - Payments,Srushti M P,Product Management
219,ZoomInfo,Founded in 2000,More than 1000 employees,"Bangalore, Chennai",Principal Product Manager,Pranesh P,Product Management
220,75f.io,Founded in 2012,50 - 200 employees,Bangalore,Software Frontend Developer,Rayal Rajan,"Angular,JavaScript,HTML,CSS"
221,Amantya Technologies,Founded in 2018,200 - 500 employees,Gurgaon,Xamarin Developer (Android),Ardhendu Bikash Acharjee,"C#,Android,Xamarin"
222,Arzoo,Founded in 2006,50 - 200 employees,Bangalore,SDE2,Rajni Thakur,"Java,Node.js,Spring Boot"
223,BT,Founded in 1992,More than 1000 employees,Bangalore,Software Engineering Manager,Arun Sreenivasan,"Java,React.js,JavaScript,Engineering Management"
224,BT,Founded in 1992,More than 1000 employees,Bangalore,Software Engineering Manager - Mobile,Arun Sreenivasan,"iOS,Android,Engineering Management,Flutter"
225,GrayMatter Software Services,Founded in 2006,200 - 500 employees,Bangalore,Software Engineer,Vidya Vm,"Angular,Express.js,Node.js,JavaScript,CSS"
226,IBM,Founded in 1911,More than 1000 employees,Bangalore,Lead Backend Engineer,Nisha M,"Java,Spring,Microservices,Algorithms,MongoDB"
227,Tech Mahindra,Founded in 1986,More than 1000 employees,Hyderabad,Snowflake Developer,Nirosha Yalawar,"Snowflake,SQL,Python"
228,VMware,Founded in 1998,More than 1000 employees,"Bangalore, Chennai, Pune",Android Developer,Srijani Majumdar,Java
229,Wipro,Founded in 1945,More than 1000 employees,Bangalore,AV Engineer,Sarika J,Audio Engineering
230,Chegg,Founded in 2005,500 - 1000 employees,Hyderabad,Inside Sales,Mohammad Adil Ansari,"Business Development,Sales,Direct Sales,Microsoft Office"
231,DevRev,Founded in 2020,10 - 50 employees,Chennai,Accountant,Prashant Gautam,"US GAAP,Accounting,Finance,CPA,CMA"
232,E2open,Founded in 2000,More than 1000 employees,Hyderabad,Tableau Developer,Hireign Innoways,"Business Intelligence,Power BI,Tableau,SQL,Data Visualization"
233,Khoros,Founded in 2001,500 - 1000 employees,Bangalore,Senior Tax Accountant,Meera J,"Accounting,Auditing,Taxation,Income Tax,Sales Tax"
234,MyBillBook (FloBiz),Founded in 2019,200 - 500 employees,Bangalore,Sales Manager - Lending,Sukant Singh,"Business Development,Sales"
235,Noodle.ai,Founded in 2016,200 - 500 employees,Bangalore,Senior Machine Learning Engineer,Ankita Ghosh,"Data Mining,Machine Learning,NLP,Python,Keras,PyTorch,Scikit-learn,TensorFlow"
236,Rent An Attire,Founded in 2015,10 - 50 employees,Pune,Fashion Consultant Intern,Sakshi Pund,"Direct Sales,Sales"
237,Rent An Attire,Founded in 2015,10 - 50 employees,Pune,Social Media Marketing Intern,Sakshi Pund,"Content Marketing,Facebook Marketing,Social Media Marketing"
238,Sequoia Consulting Group,Founded in 2001,200 - 500 employees,Bangalore,Data Visualization - 2,Dilip Kumar,"Power BI,SQL,Tableau"
239,Viacom,Founded in 1971,More than 1000 employees,Bangalore,Security Engineer,Ankush Thakur,"Application Security,Penetration Testing,VAPT,Vulnerability Assessment,Network Security"
240,Bright Money,Founded in 2019,50 - 200 employees,Bangalore,Public Relations (PR) Associate,Vaishnavi A B,"Corporate Communication,Media Relations,Public Relations"
241,Choice,Founded in 2010,500 - 1000 employees,"Indore, Mumbai",Relationship Manager,Himanshu Gunani,"Business Development,Corporate Sales,Direct Sales,Sales"
242,Corus Infotech,Founded in 2016,10 - 50 employees,Kochi,Wordpress Web Developer,Anju Krishna,"Game Development,Android,C#,HTML"
243,Evolving Systems,Founded in 1985,200 - 500 employees,Bangalore,Project Manager,Fredi Leslie,"Project Management,LLD,Power BI,Vendor Management,Scope Management"
244,Finplan Edu,Founded in 2011,50 - 200 employees,Mumbai,Video Editing and Motion Graphics,Parth Naik,"Motion Graphics,Video Editing,Audio Editing,Video Production,Graphic Design"
245,LILA Games,Founded in 2020,0 - 10 employees,Bangalore,Senior Unity Developer,Khushboo Kothari,"Unity,C#"
246,Recrosoft Technologies,Founded in 2012,200 - 500 employees,Noida,Software Engineer,Sharmila M,"Java,Spring,Hibernate"
247,TEK Soft Labs,Founded in 2020,10 - 50 employees,Chennai,React Native Developer,Usha Rani,"React Native,Git,React.js,HTML,JavaScript"
248,Tork Motors,Founded in 2010,50 - 200 employees,Pune,Cloud Backend Developer,Khushboo Kothari,"Google Cloud,Network Security"
249,Walmart Global Tech India,Founded in 1962,More than 1000 employees,Bangalore,Senior Software Engineer - Java,Jafar Shaik Hehim,"Java,Hibernate,J2EE,Spring"
250,7Vachan,Founded in 2012,10 - 50 employees,Gurgaon,Software Engineer,Apurva Nidavani,"Node.js,JavaScript,Java,Python,Data Structures"
251,Avataar,Founded in 2014,200 - 500 employees,Bangalore,Lead SDE & SDE - III (Frontend Development),Jayashree Vasudevan,"JavaScript,React.js"
252,CreditVidya,Founded in 2013,50 - 200 employees,Hyderabad,Senior Test Engineer,Shrishti Singh,"Performance Testing,JMeter,LoadRunner,Gatling"
253,Elevate K-12,Founded in 2015,200 - 500 employees,Gurgaon,Senior Flutter Developer,Ismail Shaikh,"Flutter,iOS,Hybrid Apps,Android"
254,HighLevel,Founded in 2018,500 - 1000 employees,"Bangalore, Chennai, Mumbai",Customer Success Manager,Vamshi Verma,"Customer Interaction,Customer Relationship"
255,Infraspec,Founded in 2021,0 - 10 employees,Bangalore,Software Development Engineer - 1 (Backend),Akasmat Pradhan,"Data Structures,DevOps,Algorithms,Database Development,Network Administration"
256,Paytm,Founded in 2000,More than 1000 employees,Bangalore,SDE 4,Akshatha Hydri,"Java,Data Structures,LLD"
257,Pluckk,Founded in 2017,10 - 50 employees,Mumbai,Ecommerce Marketing Manager,Tasmia Azhar,"Marketing,Google Ads,Display Advertising,Digital Marketing"
258,Tesco,Founded in 2004,More than 1000 employees,Bangalore,Software Development Engineer,Rennel Menezes,"HTML,JavaScript,React.js"
259,Walmart Global Tech India,Founded in 1962,More than 1000 employees,Bangalore,Android Developer,Madhan Kumar R,Android
260,AI Palette,Founded in 2018,0 - 10 employees,Bangalore,Data Engineer,Anurag Mishra,"Data Analysis,Data Warehousing,ETL,NoSQL,Search,Amazon Redshift,BigQuery,Elasticsearch,Snowflake,Solr,Spark"
261,AST SpaceMobile,Founded in 2017,50 - 200 employees,Hyderabad,Flight Software Developer,Mallikarjuna Naga K,"Embedded C,RTOS,MATLAB,Simulink,Python"
262,BankBazaar.com,Founded in 2008,More than 1000 employees,Chennai,Senior Developer,Ilakkiya R,Mainframes
263,D. E. Shaw,Founded in 1988,More than 1000 employees,"Bangalore, Gurgaon, Hyderabad",Senior Tech Associate,Piyush Pandey,"Java,Linux,Python"
264,DevOn,Founded in 2004,500 - 1000 employees,Bangalore,Senior Software Engineer,Subhashish S,".NET,C,JavaScript,ASP.NET,React.js,VB.NET"
265,ENIX Software,Founded in 2013,50 - 200 employees,Navi Mumbai,HR Executive,Enix Software Pvt Ltd,Recruitment
266,Harman Connected Services,Founded in 2012,50 - 200 employees,Bangalore,Infotainment Testing,Mohammed Khan,"Automotive Infotainment,Python,Automation Testing"
267,InMobi,Founded in 2007,More than 1000 employees,Bangalore,Technical Program Manager,Debi Dey,"Agile,PMO,PMP,Program Management,Scrum"
268,KPIT,Founded in 1990,More than 1000 employees,Bangalore,AUTOSAR Diagnostics Developer (Memory Stack),Keshini Vc,"AUTOSAR,Diagnostics,UDS,CAN,Embedded Systems"
269,Peech India,Founded in 2014,10 - 50 employees,Bangalore,Illustrator / Story Plan Artist,Aurelie Gillet,"Graphic Design,Illustrator,Photoshop"
270,Edureka,Founded in 2011,200 - 500 employees,Bangalore,Jr. Data Analyst,Ankita M,"Microsoft Excel,Power BI,Python,SQL,Tableau"
271,Genpact,Founded in 1997,More than 1000 employees,Bangalore,Snowflake Data Engineer,Arpita Dey,"Snowflake,Python,ETL,Data Warehousing"
272,Growfin.ai,Founded in 2020,10 - 50 employees,Bangalore,Account Executive,Narkish M,"Business Development,International Sales,Sales"
273,Inspire Brands,Founded in 2018,More than 1000 employees,Hyderabad,"Engineer, DevOps",Ramya Thota,"Azure,DevOps,Kubernetes,Terraform,Git"
274,Navi Technologies,Founded in 2019,50 - 200 employees,Bangalore,Product Support Engineer - 1,Suhasni Hangloo,"Java,JavaScript,SQL,Technical Support"
275,Ola,Founded in 2011,More than 1000 employees,Bangalore,Application Security,Misha Yadav,"Penetration Testing,VAPT,Vulnerability Assessment,ISO 27001,Application Security"
276,Opsera,Founded in 2020,10 - 50 employees,"Bangalore, Chennai",DevOps Engineer,Kl Narasimhan,"CI - CD,Linux,Windows,Ansible,AWS,Azure,Docker,Google Cloud,Jenkins,Kubernetes"
277,Predera,Founded in 2017,50 - 200 employees,Hyderabad,Big Data Engineer,Sharmila M,"ETL,Data Warehousing,Big Data,Sqoop,Hadoop"
278,Teachmint,Founded in 2020,500 - 1000 employees,Bangalore,Lead Product Designer,Somya Gahoi,"UX Design,Product Lifecycle Management,Product Management"
279,Unacademy,Founded in 2015,More than 1000 employees,Bangalore,Head of Marketing,Vartika Pundir,"ATL,Brand Management,BTL,Digital Marketing,Marketing Communication"
280,CRED,Founded in 2018,200 - 500 employees,Bangalore,Solution Engineer,Rakesh Patil,"Python,SQL,Java"
281,HomeLane,Founded in 2014,More than 1000 employees,Mumbai,Interior Designer,Seema Manglani,"Interior Design,AutoCAD,2D Animation,3D Animation,SketchUp"
282,Kickdrum,Founded in 2012,10 - 50 employees,Bangalore,Engineering Manager,Naveen Kumar,"Engineering Management,AWS,Java"
283,Kickdrum,Founded in 2012,10 - 50 employees,Bangalore,Principal Engineer,Naveen Kumar,"Java,.NET,Python,React.js,Node.js"
284,Kickdrum,Founded in 2012,10 - 50 employees,Bangalore,Software Architect,Naveen Kumar,"Solution Architecture,AWS"
285,Stratogent,Founded in 2008,200 - 500 employees,Bangalore,HR Head,Abhishek Dhuria,"Organization Design,Performance Management,Compensation Management,HR Operations,Learning and Development"
286,Tata Consultancy Services,Founded in 1968,More than 1000 employees,Bangalore,Salesforce Developer,Ramya T S,"Salesforce,Lightning Web Components,Lightning"
287,Tekion,Founded in 2016,More than 1000 employees,Bangalore,Senior Software Engineer - Frontend,Lalitha Dev,"CSS,HTML,JavaScript,React.js,Vue.js"
288,Verizon Communications,Founded in 1983,More than 1000 employees,Chennai,Full Stack,Gopikrishnan Kg,"React.js,Spring Boot,Java,Microservices"
289,Zoomcar,Founded in 2012,200 - 500 employees,Bangalore,Senior Devsecops Engineer,Soundarya Gowda,"CI - CD,Linux,Ansible,AWS,Chef,Docker,Jenkins,Kubernetes,Nagios,Puppet"
290,Bright Money,Founded in 2019,50 - 200 employees,Bangalore,Banking Operation,Pooja V Chalageri,"Finance,Financial Planning"
291,Kutumb,Founded in 2020,50 - 200 employees,Bangalore,Product Manager,Swapnil Nautiyal,"Product Management,Product Lifecycle Management"
292,Marketwick,Founded in 2019,10 - 50 employees,Gurgaon,Salesforce Developer,Satish Agrawal,"Salesforce,Apex"
293,Micro Labs,Founded in 1973,More than 1000 employees,Gurgaon,Executive Assistant,Kamal Deep Sahni,"Executive Assistance,Microsoft Excel,General Management,Operations Management,Microsoft PowerPoint"
294,MUFG,Founded in 1900,More than 1000 employees,Bangalore,IT Project Management Officer (PMO) - AVP,Kalaivani K,"Project Management,PMO,SharePoint"
295,Nexthink,Founded in 2004,500 - 1000 employees,Bangalore,Senior AI Engineer,Shathadruthi Hj,"Computer Vision,Java,Machine Learning,NLP,Python,PyTorch,Scikit-learn,TensorFlow"
296,Open Financial Technologies,Founded in 2017,200 - 500 employees,Bangalore,Reconciliation and Settlements Specialist,Libin O K,Operations Management
297,Sagarsoft,Founded in 1996,200 - 500 employees,"Bangalore, Hyderabad, Work From Home",Azure Cloudops Engineer,Sneha Latha,"Ansible,CI - CD,Chef,CircleCI,Jenkins,Puppet"
298,Sagarsoft,Founded in 1996,200 - 500 employees,"Bangalore, Hyderabad, Work From Home",Java Developer,Sneha Latha,"Hibernate,J2EE,Java,Kafka,Spring,Struts"
299,Sagarsoft,Founded in 1996,200 - 500 employees,"Hyderabad, Work From Home",Java Developer,Vadada Shanmukha Sreenivas,"Java,Kafka,Spring"
300,314e Corporation,Founded in 2004,500 - 1000 employees,Bangalore,Senior UI Designer,Florence Teresa Dcruz,"Java,Kafka,Spring"
301,Allen Career Institute,Founded in 1988,More than 1000 employees,Bangalore,Android Developer (SE / SE2),Dhaarani M,"Android,Kotlin,Java"
302,Avis Budget Group,Founded in 1946,More than 1000 employees,Bangalore,Senior Software Development Engineer,Nikita Jaiswal,"Java,React.js,AWS,DevOps,SQL"
303,Celigo,Founded in 2005,500 - 1000 employees,Hyderabad,Business Intelligence Engineer,Vikram T,"Power BI,SQL,Tableau,Data Warehousing,ETL,Python"
304,Celigo,Founded in 2005,500 - 1000 employees,Hyderabad,Senior Product Manager,Nithin Gaddam,Product Management
305,Emint,Founded in 2022,0 - 10 employees,Bangalore,Software Engineer,Roshan Muniraj,"Flutter,Dart"
306,Frankfinn Aviation Services,Founded in 1993,More than 1000 employees,Gurgaon,Tele Caller Executive,Rahul Tharika,"Telecalling,Business Development,Sales"
307,Predera,Founded in 2017,50 - 200 employees,Hyderabad,Big Data Engineer,Sharmila M,"Databricks,Big Data,ETL"
308,SatSure,Founded in 2017,50 - 200 employees,Bangalore,Senior Machine Learning Researcher,Shivkumar Gurram,"Machine Learning,TensorFlow,Python,Data Mining,PyTorch"
309,WorkOnGrid,Founded in 2017,10 - 50 employees,Bangalore,Backend Developer - SDE1,Athmiya Hm,"PHP,Python,Laravel"
310,Autonomize AI,Founded in 2021,10 - 50 employees,Bangalore,Senior DevOps Engineer,Swati,"Python,MLOps"
311,CreditVidya,Founded in 2013,50 - 200 employees,Hyderabad,Senior Test Engineer,Rovena Dsouza,"Automation Testing,REST Assured,CI - CD,Security Testing,JavaScript"
312,CreditVidya,Founded in 2013,50 - 200 employees,Hyderabad,SSE,Ramya Tanya,"Performance Testing,Automation Testing,JMeter,Java,REST Assured"
313,DevRev,Founded in 2020,10 - 50 employees,Chennai,Content Writer,Prashant Gautam,"Content Writing,SEO,SEMrush,Ahrefs,Content Marketing"
314,DotcomWeavers,Founded in 2007,50 - 200 employees,Hyderabad,Magento Business Analyst,Reecha Mishra,"Magento,Business Analysis"
315,FedEx,Founded in 1973,More than 1000 employees,Hyderabad,Software Engineer II,Kalaivani K,"Ab Initio,SQL"
316,Hopscotch,Founded in 2012,200 - 500 employees,Bangalore,Data Engineer II,Sunitha Nirmal,"ETL,Python,AWS,Data Modelling,Data Warehousing"
317,Maidaan,Founded in 2022,0 - 10 employees,Bangalore,Founding Engineer,Judhajit Bal,"Android,iOS,Java,JavaScript,Node.js,React.js,Spring"
318,TechnoGen,Founded in 2003,200 - 500 employees,Hyderabad,Data Modeler,Naveen Kumar Bade,"Data Modelling,Data Warehousing,Snowflake,erwin"
319,Xindus Trade Networks,Founded in 2022,10 - 50 employees,Gurgaon,Demand Generation Lead,Himanshu G,Marketing
320,Annalect,Founded in 2010,More than 1000 employees,Bangalore,Motion Graphics,Ankush Thakur,"Motion Graphics,Adobe After Effects,Adobe Premiere Pro,Cinema 4D"
321,Aphelia Innovations,Founded in 2018,10 - 50 employees,Faridabad,Sales Manager,Harish Chandra,"Sales,Industrial Consumables,Marketing,Mechanical Engineering,Electrical Engineering"
322,Arthmate,Founded in 2020,10 - 50 employees,Gurgaon,UX Designer,Anjali Nair,"Figma,Adobe XD,Balsamiq,UX Design"
323,Evolving Systems,Founded in 1985,200 - 500 employees,Bangalore,Project Manager,Fredi Leslie,"Project Management,Scope Management,Resource Management,Vendor Management,Revenue Management"
324,HomeLane,Founded in 2014,More than 1000 employees,Ahmedabad,Interior Designer,Tasmia Azhar,"Interior Design,SketchUp"
325,ImSafeNow,Founded in 2017,0 - 10 employees,Noida,Java Developer With Kafka,Girija Perumal,"Java,Kafka"
326,LILA Games,Founded in 2020,0 - 10 employees,Bangalore,Director of Engineering,Ankit Sinha,"Unity,Game Development,Engineering Management,C#"
327,PhonePe,Founded in 2015,More than 1000 employees,Bangalore,Frontend Engineer,Roshan Muniraj,"JavaScript,React.js,Angular,CSS,HTML"
328,PhysicsWallah,Founded in 2014,More than 1000 employees,Noida,SDE - 2 Android,Khushi Tomar,"Java,Kotlin,Android"
329,Vymo,Founded in 2013,50 - 200 employees,Bangalore,Technical Project Manager,Sreya Mazumdar,"Agile,PMO,PMP,Project Management,Scrum,IT Project Management"
330,CreditVidya,Founded in 2013,50 - 200 employees,Hyderabad,Software Testing Engineer (Automation Web + API),Priya Desai,"API Testing,Automation Testing,Java,REST Assured,SDET,Selenium"
331,CreditVidya,Founded in 2013,50 - 200 employees,Hyderabad,Software Testing Engineer - Performance Testing,Priya Desai,"Performance Testing,Automation Testing,Java,REST Assured,SDET,Selenium"
332,Mool,Founded in 2020,10 - 50 employees,Gurgaon,Node.js Developer,Srija Mukherjee,"Node.js,MySQL,JavaScript"
333,Prophecy,Founded in 2017,10 - 50 employees,Bangalore,Data Engineer,Anjali Nair,"Spark,Scala,Python,Big Data"
334,Prophecy,Founded in 2017,10 - 50 employees,Bangalore,Product Manager,Anjali Nair,"Spark,Product Management,Python"
335,Splore,Founded in 2023,10 - 50 employees,Bangalore,Engineering Manager,Krishanu B,AWS
336,Synaptic,Founded in 2016,50 - 200 employees,Gurgaon,DevOps / Site Reliability - Staff Engineer,Rohit Gupta,"AWS,Kubernetes,DevOps,Big Data,Docker"
337,Synaptic,Founded in 2016,50 - 200 employees,Gurgaon,SDE III - Frontend,Rohit Gupta,"React.js,JavaScript,React Native,CI - CD,Highcharts"
338,Synaptic,Founded in 2016,50 - 200 employees,Gurgaon,Site Reliability Engineer - SDE III,Rohit Gupta,"AWS,Kubernetes,CI - CD,Big Data,Docker"
339,Synaptic,Founded in 2016,50 - 200 employees,Gurgaon,Staff Engineer - Frontend,Rohit Gupta,"React.js,JavaScript,React Native,CI - CD,Unit Testing"
